"Marmoset Viewer 1.0.0" : "Unknown" : "C:\Program Files\Marmoset\Viewer\Marmoset Viewer.exe,0"
"ShareX" : "C:\Program Files\ShareX\" : "C:\Program Files\ShareX\ShareX.exe"
"AFPL Ghostscript 8.54" : "Unknown" : "Unknown"
"AFPL Ghostscript Fonts" : "Unknown" : "Unknown"
"Unknown" : "Unknown" : "Unknown"
"CrystalDiskInfo 8.15.2" : "C:\Program Files\CrystalDiskInfo\" : "C:\Program Files\CrystalDiskInfo\DiskInfo32.exe"
"Everything 1.4.1.1015 (x64)" : "C:\Program Files\Everything" : "C:\Program Files\Everything\Everything.exe"
"Fairlight Audio Accelerator Utility" : "C:\Program Files\Blackmagic Design\DaVinci Resolve\audio\Fairlight Audio Accelerator\" : "Unknown"
"FFmpeg v2.2.2 for Audacity - 64bit" : "C:\Program Files\FFmpeg For Audacity\" : "Unknown"
"HexChat" : "C:\Program Files\HexChat\" : "C:\Program Files\HexChat\hexchat.exe"
"Mozilla Firefox (x64 ru)" : "C:\Program Files\Mozilla Firefox" : "C:\Program Files\Mozilla Firefox\firefox.exe,0"
"Mozilla Maintenance Service" : "Unknown" : "C:\Program Files (x86)\Mozilla Maintenance Service\Uninstall.exe,0"
"PPSSPP" : "C:\Program Files\PPSSPP\" : "C:\Program Files\PPSSPP\PPSSPPWindows.exe"
"RizomUV VS RS 2022.0" : "C:\Program Files\Rizom Lab\RizomUV 2022.0\" : "Unknown"
"SageThumbs 2.0.0.23" : "C:\Program Files (x86)\SageThumbs" : "C:\Program Files (x86)\SageThumbs\32\SageThumbs.dll"
"SoftEther VPN Client" : "Unknown" : ""C:\Program Files\SoftEther VPN Client\vpnsetup.exe",6"
"Bloons TD Battles 2" : "D:\SteamLibrary\steamapps\common\Bloons TD Battles 2" : ""
"Substance 3D Painter 2022" : "C:\Program Files (x86)\Steam\steamapps\common\Substance 3D Painter 2022" : "C:\Program Files (x86)\Steam\steam\games\a43839c9f8b4f6bb1e2d3de09696a5fe44fc9183.ico"
"Vampire Survivors" : "C:\Program Files (x86)\Steam\steamapps\common\Vampire Survivors" : "C:\Program Files (x86)\Steam\steam\games\b61dc182c372d4f9517043ba04f4fa61308a30bb.ico"
"Trimps" : "D:\SteamLibrary\steamapps\common\Trimps" : "C:\Program Files (x86)\Steam\steam\games\034d555b0b0f3b3acb5d921684f71c0b2b8cbca4.ico"
"GemCraft - Chasing Shadows" : "C:\Program Files (x86)\Steam\steamapps\common\GemCraft Chasing Shadows" : "C:\Program Files (x86)\Steam\steam\games\05bee0c1714032508493a47c099c2e139d7d178e.ico"
"Blender" : "C:\Program Files (x86)\Steam\steamapps\common\Blender" : "C:\Program Files (x86)\Steam\steam\games\2c766c741133c157e0a3c3ac5648a3155fb79f4e.ico"
